row_idx,product_id,shade_id,shade_name,brand_name,product_name,page_url,chip_url,center_url_used,image_file,status,error
21,P10025810,364541,"Pillow Talk Fair (1,5 g + 0,8 g)",CHARLOTTE TILBURY,Pillow Talk Duo Set - Set Pour Les Lèvres,https://www.sephora.fr/p/pillow-talk-duo-set---set-pour-les-levres-P10025810.html,https://media.sephora.eu/content/dam/digital/pim/published/C/CHARLOTTE_TILBURY/747819/364541-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/C/CHARLOTTE_TILBURY/747819/364541-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P10025810__364541.avif,ok,
22,P1000207675,364252,Rich Brown (1 ml),HUDA BEAUTY,Lip Contour Lip Stain - Crayon à lèvres,https://www.sephora.fr/p/lip-contour-lip-stain---crayon-a-levres-P1000207675.html,https://media.sephora.eu/content/dam/digital/pim/published/H/HUDA_BEAUTY/761741/364252-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/H/HUDA_BEAUTY/761741/364252-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000207675__364252.avif,ok,
23,P1000207675,364254,Rosewood (1 ml),HUDA BEAUTY,Lip Contour Lip Stain - Crayon à lèvres,https://www.sephora.fr/p/lip-contour-lip-stain---crayon-a-levres-P1000207675.html,https://media.sephora.eu/content/dam/digital/pim/published/H/HUDA_BEAUTY/761743/364254-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/H/HUDA_BEAUTY/761743/364254-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000207675__364254.avif,ok,
24,P1000207675,364255,Baby Pink (1 ml),HUDA BEAUTY,Lip Contour Lip Stain - Crayon à lèvres,https://www.sephora.fr/p/lip-contour-lip-stain---crayon-a-levres-P1000207675.html,https://media.sephora.eu/content/dam/digital/pim/published/H/HUDA_BEAUTY/761744/364255-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/H/HUDA_BEAUTY/761744/364255-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000207675__364255.avif,ok,
25,P1000207675,364253,Warm Brown (1 ml),HUDA BEAUTY,Lip Contour Lip Stain - Crayon à lèvres,https://www.sephora.fr/p/lip-contour-lip-stain---crayon-a-levres-P1000207675.html,https://media.sephora.eu/content/dam/digital/pim/published/H/HUDA_BEAUTY/761742/364253-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/H/HUDA_BEAUTY/761742/364253-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000207675__364253.avif,ok,
26,P1000207675,364251,Soft Nude (1 ml),HUDA BEAUTY,Lip Contour Lip Stain - Crayon à lèvres,https://www.sephora.fr/p/lip-contour-lip-stain---crayon-a-levres-P1000207675.html,https://media.sephora.eu/content/dam/digital/pim/published/H/HUDA_BEAUTY/761740/364251-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/H/HUDA_BEAUTY/761740/364251-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000207675__364251.avif,ok,
27,P1000207675,367863,Cinnamon (1 ml),HUDA BEAUTY,Lip Contour Lip Stain - Crayon à lèvres,https://www.sephora.fr/p/lip-contour-lip-stain---crayon-a-levres-P1000207675.html,https://media.sephora.eu/content/dam/digital/pim/published/H/HUDA_BEAUTY/761797/367863-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/H/HUDA_BEAUTY/761797/367863-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000207675__367863.avif,ok,
28,P1000207675,367862,Cherry Red (1 ml),HUDA BEAUTY,Lip Contour Lip Stain - Crayon à lèvres,https://www.sephora.fr/p/lip-contour-lip-stain---crayon-a-levres-P1000207675.html,https://media.sephora.eu/content/dam/digital/pim/published/H/HUDA_BEAUTY/761796/367862-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/H/HUDA_BEAUTY/761796/367862-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000207675__367862.avif,ok,
29,P1000207675,367864,Toasty Brown (1 ml),HUDA BEAUTY,Lip Contour Lip Stain - Crayon à lèvres,https://www.sephora.fr/p/lip-contour-lip-stain---crayon-a-levres-P1000207675.html,https://media.sephora.eu/content/dam/digital/pim/published/H/HUDA_BEAUTY/761798/367864-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/H/HUDA_BEAUTY/761798/367864-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000207675__367864.avif,ok,
30,P1000203314,352448,"Velvet - 510 Le Rouge Vibrant (3,5g)",GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,https://www.sephora.fr/p/rouge-g---la-recharge---le-rouge-a-levres-soin-personnalisable-P1000203314.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733309/352448-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/733309/352448-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000203314__352448.avif,ok,
