product_id,shade_id,brand_name,product_name,shade_name,chip_hex,chip_rgb,r,g,b,L_lab,a_lab,b_lab,C_lab,H_lab_deg,cluster_id
P1000203314,352454,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 770 Le Rouge Grenadine (3,5g)",#b41731,"180,23,49",180,23,49,38.79647617090728,59.63647268045904,28.53110489133427,66.11000544613088,25.567247070261946,24
P1000203314,352455,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 940 Le Brun Chaud (3,5g)",#7d2d2c,"125,45,44",125,45,44,30.44804643160115,34.660483939002646,18.99416104967652,39.52375615837782,28.72301569266336,21
P1000203314,352456,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 880 Le Rouge Rubis (3,5g)",#be212d,"190,33,45",190,33,45,41.57612298999548,60.00564127986991,34.66122255557945,69.29702255115899,30.01213649472004,12
P1000203314,352457,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 520 Le Rouge Profond (3,5g)",#a40f23,"164,15,35",164,15,35,34.71791629484455,56.22920423845213,31.587991020935966,64.49437639072336,29.32605676640145,24
P1000203314,352458,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 539 Le Tonka Halé (3,5g)",#aa5542,"170,85,66",170,85,66,46.22937060069397,33.13242587137599,27.029937485926503,42.7595037929034,39.2080893919067,29
P1000203314,352459,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 772 Le Rose Bourbon (3,5g)",#bb2c48,"187,44,72",187,44,72,42.51718813513001,57.37735994453791,19.20274253986056,60.50542748594735,18.50408279875768,3
P1000203314,352460,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 870 Le Prune Intense (3,5 g)",#860131,"134,1,49",134,1,49,27.60974633862096,51.15971363008418,12.312804293131364,52.62054207506014,13.532232702068312,3
P1000203314,352461,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 775 Le Rouge Bordeaux (3,5g)",#a91726,"169,23,38",169,23,38,36.348614302289846,56.18574517041369,31.85442291123992,64.58747726427153,29.55100292261858,24
P1000203314,352462,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 366 Le Rose Pompon (3,5g)",#cc414e,"204,65,78",204,65,78,48.4760039457674,55.45112831501292,23.92369422723718,60.391810511743806,23.33717707886421,24
P1000203314,352463,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 519 Le Rose Essentiel (3,5g)",#c3374b,"195,55,75",195,55,75,45.42268083085915,56.22193117027585,21.45273282617488,60.17578657754692,20.88547010296861,24
P1000203314,352465,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 214 Le Rouge Kiss (3,5g)",#c32413,"195,36,19",195,36,19,42.634512660266815,59.99943940473735,49.36260793812418,77.69555837585382,39.44474006823612,27
P1000203314,352466,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 28 Le Coquelicot (3,5g)",#cd2021,"205,32,33",205,32,33,44.413530694883946,64.05180296414936,45.14387810044054,78.36200095011387,35.17628131000231,27
P1000203314,352467,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 360 Le Beige Nu (3,5g)",#ab5245,"171,82,69",171,82,69,45.80438676912242,35.333731402384046,24.763390456926704,43.14739947827712,35.02441515143954,29
